,home_team,away_team,score,kick_off_time,home_goals,away_goals,date,referee,stadium,attendance,season
127,Shamrock Rovers,Cork City,2 - 1,18:00,"G. Burke 29'
L. Burt 50'",35' B. Coffey,2023-08-06,'Damien MacGraith','Tallaght Stadium',3419,2023
128,Cork City,UCD,1 - 1,19:45,C. Bargary 26',66' D. Kinsella-Bishop,2023-08-11,'Gavin Colfer',"""Turner's Cross""",2826,2023
129,Dundalk,Sligo Rovers,1 - 0,19:45,D. Kelly 10',,2023-08-11,'Adriano Reale','Oriel Park',1947,2023
130,St Patrick's Athletic,Bohemians,0 - 0,19:45,,,2023-08-11,'Robert Harvey','Richmond Park',5011,2023
131,Shelbourne,Shamrock Rovers,1 - 1,19:45,G. Molloy 94',20' M. Poom,2023-08-11,'David Dunne','Tolka Park',4250,2023
132,Derry City,Drogheda United,3 - 0,18:30,"J. McEneff 41'
J. McGonigle 85'
M. Duffy 88'",,2023-08-13,"""Eoghan O'Shea""",'The Ryan McBride Brandywell Stadium',2461,2023
133,Drogheda United,Cork City,3 - 1,19:45,"K. Robinson 61'
A. McNally 85'
R. Brennan 95'",15' K. Čustović,2023-08-25,'Robert Hennessy','Weavers Park',1776,2023
134,UCD,St Patrick's Athletic,0 - 1,19:45,,43' J. Redmond,2023-08-25,"""Kevin O'Sullivan""",'UCD Bowl',1265,2023
135,Bohemians,Derry City,2 - 2,20:30,"J. Clarke 13'
J. Afolabi 53'","22' M. Duffy
42' D. Mullen",2023-08-25,'Robert Harvey','Dalymount Park',4142,2023
136,Shamrock Rovers,Dundalk,1 - 0,19:45,Roberto Lopes 62',,2023-08-25,'Neil Doyle','Tallaght Stadium',6021,2023
137,Sligo Rovers,Shelbourne,0 - 1,19:45,,40' M. Coyle,2023-08-26,'Damien MacGraith','The Showgrounds',2191,2023
138,Cork City,Sligo Rovers,3 - 0,19:45,"R. Keating 28'
R. Keating 64'
R. Keating 74'",,2023-09-01,'Oliver Moran',"""Turner's Cross""",2484,2023
139,Drogheda United,UCD,3 - 0,19:45,"K. Robinson 34'
K. Robinson 45'
A. McNally 69'",,2023-09-01,"""Eoghan O'Shea""",'Weavers Park',1752,2023
140,Dundalk,Derry City,1 - 3,19:45,P. Hoban 96',"42' W. Patching
47' B. Doherty
77' W. Patching",2023-09-01,'Damien MacGraith','Oriel Park',2861,2023
141,Shelbourne,St Patrick's Athletic,2 - 1,19:45,"Euclides Cabral 80'
P. Barrett 90'",20' J. Redmond,2023-09-01,'Neil Doyle','Tolka Park',2124,2023
142,Shamrock Rovers,Bohemians,3 - 0,19:45,"L. Grace 43'
R. Finn 51'
N. Farrugia 82'",,2023-09-01,'Robert Hennessy','Tallaght Stadium',7816,2023
143,UCD,Derry City,0 - 5,19:45,,"2' D. Mullen
40' W. Patching
44' B. Kavanagh
52' W. Patching
57' B. Kavanagh",2023-09-06,'David Dunne','UCD Bowl',433,2023
144,Derry City,Shamrock Rovers,1 - 1,19:45,C. McJannet 62',85' G. Burke,2023-09-15,'Paul McLaughlin','The Ryan McBride Brandywell Stadium',3435,2023
145,Sligo Rovers,UCD,2 - 0,19:45,K. Barlow 63',17' E. Osam,2023-09-16,'Gavin Colfer','The Showgrounds',2091,2023
146,Drogheda United,Bohemians,0 - 0,19:45,,,2023-09-22,'Paul McLaughlin','Weavers Park',1951,2023
147,Shelbourne,Cork City,2 - 1,19:45,"J. Moylan 28'
W. Jarvis 47'",36' R. Keating,2023-09-22,'David Dunne','Tolka Park',3595,2023
148,St Patrick's Athletic,Dundalk,3 - 1,19:45,"T. Lonergan 49'
T. Lonergan 57'
M. Melia 98'",75' D. Kelly,2023-09-22,'Damien MacGraith','Richmond Park',3921,2023
149,UCD,Shamrock Rovers,0 - 0,19:45,,,2023-09-22,"""Kevin O'Sullivan""",'UCD Bowl',1615,2023
150,Sligo Rovers,Derry City,1 - 0,19:45,S. Radosavljević 84',,2023-09-22,'Robert Harvey','The Showgrounds',2451,2023
151,Bohemians,Shelbourne,1 - 1,19:45,A. Coote 74',23' J. Moylan,2023-09-25,'Robert Harvey','Dalymount Park',4390,2023
152,Dundalk,Cork City,5 - 0,19:45,"H. Muller 18'
D. Horgan 27'
S. Durrant 55'
J. Martin 87'",33' C. Coleman,2023-09-25,'Paul McLaughlin','Oriel Park',1827,2023
153,St Patrick's Athletic,Drogheda United,1 - 2,19:45,C. Forrester 40',"6' W. Davis
81' D. Rooney",2023-09-25,'David Dunne','Richmond Park',3711,2023
154,Bohemians,Sligo Rovers,3 - 1,19:45,"J. Afolabi 55'
A. Coote 73'
J. Afolabi 85'",93' Pedro Martelo,2023-09-29,"""Kevin O'Sullivan""",'Dalymount Park',4193,2023
155,Cork City,St Patrick's Athletic,0 - 1,19:45,,77' M. Doyle,2023-09-29,'Oliver Moran',"""Turner's Cross""",2251,2023
156,Derry City,UCD,6 - 0,19:45,"D. Mullen 5'
W. Patching 46'
C. McJannet 54'
B. Kavanagh 69'
M. Duffy 76'
J. McGonigle 89'",,2023-09-29,"""Eoghan O'Shea""",'The Ryan McBride Brandywell Stadium',2500,2023
157,Dundalk,Drogheda United,3 - 1,19:45,"P. Doyle 40'
D. Kelly 46'
P. Hoban 77'",26' K. Robinson,2023-09-29,'Robert Hennessy','Oriel Park',2728,2023
158,Shamrock Rovers,Shelbourne,1 - 0,19:45,G. Burke 72',,2023-09-29,'Damien MacGraith','Tallaght Stadium',7879,2023
159,Drogheda United,Derry City,0 - 0,19:45,,,2023-10-06,"""Kevin O'Sullivan""",'Weavers Park',1624,2023
161,Shelbourne,Dundalk,1 - 0,19:45,W. Jarvis 4',,2023-10-06,"""Eoghan O'Shea""",'Tolka Park',3598,2023
162,Bohemians,St Patrick's Athletic,0 - 2,19:45,,"59' M. Doyle
82' C. Carty",2023-10-20,'Damien MacGraith','Dalymount Park',4084,2023
163,Derry City,Shelbourne,0 - 0,19:45,,,2023-10-20,'Robert Hennessy','The Ryan McBride Brandywell Stadium',3100,2023
164,Sligo Rovers,Dundalk,0 - 2,19:45,,"19' D. Horgan
88' S. Durrant",2023-10-20,'Paul McLaughlin','The Showgrounds',1753,2023
165,UCD,Cork City,0 - 2,15:00,,"44' J. O'Brien-Whitmarsh
46' R. Keating",2023-10-22,'Paul Norton','UCD Bowl',317,2023
166,Shamrock Rovers,Drogheda United,5 - 0,20:00,"T. Clarke 6'
R. Towell 15'
J. Kenny 27'
N. Farrugia 48'
M. Poom 53'",,2023-10-22,'Robert Harvey','Tallaght Stadium',4672,2023
167,Cork City,Shamrock Rovers,0 - 0,16:45,,,2023-10-30,'Robert Hennessy',"""Turner's Cross""",2854,2023
168,St Patrick's Athletic,Sligo Rovers,1 - 0,19:30,K. Leavy 37',,2023-10-23,"""Eoghan O'Shea""",'Richmond Park',3117,2023
169,Cork City,Derry City,0 - 1,19:45,,74' R. Boyce,2023-10-27,'Damien MacGraith',"""Turner's Cross""",1868,2023
170,Dundalk,Bohemians,2 - 0,19:45,"P. Doyle 77'
D. Kelly 92'",,2023-10-27,'Robert Hennessy','Oriel Park',2780,2023
171,Shelbourne,UCD,3 - 2,19:45,"J. Moylan 20'
J. Moylan 63'
J. Moylan 89'","50' M. Raggett
81' D. Kinsella-Bishop",2023-10-27,'Paul McLaughlin','Tolka Park',3446,2023
172,St Patrick's Athletic,Shamrock Rovers,0 - 2,20:00,,"84' A. Greene
92' G. Burke",2023-10-27,'Neil Doyle','Richmond Park',5022,2023
173,Sligo Rovers,Drogheda United,0 - 0,18:00,,,2023-10-28,'Alan Patchell','The Showgrounds',2047,2023
174,Bohemians,Cork City,4 - 0,19:45,"D. Grant 12'
J. Afolabi 46'
J. Afolabi 57'",51' S. Bailey,2023-11-03,'Neil Doyle','Dalymount Park',4083,2023
175,Derry City,St Patrick's Athletic,3 - 0,19:45,"B. Kavanagh 11'
W. Patching 26'
J. McEneff 86'",,2023-11-03,'Robert Harvey','The Ryan McBride Brandywell Stadium',2986,2023
176,Drogheda United,Shelbourne,2 - 4,19:45,"D. Rooney 31'
A. Foley 35'","48' J. Moylan
54' W. Jarvis
63' J. Moylan
74' P. Barrett",2023-11-03,"""Eoghan O'Shea""",'Weavers Park',2180,2023
177,UCD,Dundalk,1 - 5,19:45,M. Gallagher 6',"33' P. Doyle
64' D. Horgan
68' D. Kelly
70' P. Hoban
86' P. Hoban",2023-11-03,"""Kevin O'Sullivan""",'UCD Bowl',594,2023
178,Shamrock Rovers,Sligo Rovers,4 - 2,19:45,"G. Burke 46'
D. Watts 51'
A. Greene 59'
D. Watts 65'","8' K. Barlow
80' F. Hartmann",2023-11-03,'Damien MacGraith','Tallaght Stadium',8021,2023
179,Dundalk,Waterford,0 - 0,19:45,,,2024-03-15,"""Kevin O'Sullivan""",'Oriel Park',2243,2024
180,Galway United,Shamrock Rovers,0 - 1,19:45,,84' J. Kenny,2024-03-15,'Paul McLaughlin','Eamonn Deacy Park',4131,2024
181,St Patrick's Athletic,Shelbourne,1 - 2,19:45,J. Mulraney 71',"48' W. Jarvis
58' W. Jarvis",2024-03-15,'Robert Harvey','Richmond Park',4988,2024
182,Sligo Rovers,Drogheda United,3 - 1,19:45,"M. Mata 21'
M. Mata 26'
W. Waweru 86'",58' A. Quinn,2024-03-16,"""Eoghan O'Shea""",'The Showgrounds',2243,2024
183,Derry City,Galway United,0 - 1,19:45,,85' S. Walsh,2024-03-29,'Declan Toland','The Ryan McBride Brandywell Stadium',3115,2024
184,Drogheda United,St Patrick's Athletic,0 - 0,19:45,,,2024-03-29,"""Kevin O'Sullivan""",'Weavers Park',2236,2024
185,Shelbourne,Dundalk,2 - 1,19:45,L. Burt 51',"74' H. Muller
91' R. Benson",2024-03-29,'Damien MacGraith','Tolka Park',4012,2024
186,Waterford,Sligo Rovers,0 - 1,19:45,,51' E. Chapman,2024-03-29,'Marc Lynch','Waterford Regional Sports Centre',2751,2024
187,Shamrock Rovers,Bohemians,3 - 1,19:45,"J. Kenny 49'
D. Burns 53'
A. Greene 73'",93' D. McDaid,2024-03-29,'Robert Harvey','Tallaght Stadium',10094,2024
188,Dundalk,Drogheda United,0 - 0,13:00,,,2024-04-01,'Paul McLaughlin','Oriel Park',2458,2024
189,Galway United,Bohemians,0 - 2,19:45,,"21' J. Mills
57' J. Akintunde",2024-04-01,'Gavin Colfer','Eamonn Deacy Park',3538,2024
