,home_team,away_team,score,kick_off_time,home_goals,away_goals,date,referee,stadium,attendance,season
258,Shelbourne,Waterford,1 - 0,19:45,S. Boyd 72',,2024-05-17,'Robert Harvey','Tolka Park',3586,2024
259,St Patrick's Athletic,Derry City,0 - 1,19:45,,76' P. McMullan,2024-05-17,'Mark Houlihan','Richmond Park',4621,2024
260,Sligo Rovers,Bohemians,0 - 3,19:45,,"2' J. Clarke
35' A. Keita
61' D. Rooney",2024-05-17,'Gavin Colfer','The Showgrounds',2087,2024
261,St Patrick's Athletic,Shelbourne,1 - 2,19:45,J. Mulraney 72',"14' S. Boyd
96' E. Caffrey",2024-05-20,'Robert Hennessy','Richmond Park',4811,2024
262,Shamrock Rovers,Derry City,1 - 0,20:00,J. Kenny 7',,2024-05-20,'Damien MacGraith','Tallaght Stadium',4031,2024
263,Bohemians,St Patrick's Athletic,2 - 2,19:45,"J. Akintunde 40'
D. Grant 92'","28' C. Forrester
51' C. Kavanagh",2024-05-24,'Robert Harvey','Dalymount Park',4431,2024
264,Derry City,Sligo Rovers,2 - 2,19:45,"M. Duffy 51'
W. Patching 83'","18' R. Hutchinson
67' N. Morahan",2024-05-24,'Robert Hennessy','The Ryan McBride Brandywell Stadium',2679,2024
265,Galway United,Dundalk,2 - 0,19:45,M. Nugent 72',23' R. Munro,2024-05-24,'Mark Houlihan','Eamonn Deacy Park',2302,2024
266,Waterford,Drogheda United,4 - 2,19:45,"P. Amond 55'
P. Amond 59'
P. Amond 68'
D. Power 74'","20' A. Foley
46' Z. Bawa",2024-05-23,'Paul Norton','Waterford Regional Sports Centre',2423,2024
267,Shamrock Rovers,Shelbourne,0 - 2,20:00,,"19' W. Jarvis
58' W. Jarvis",2024-05-24,'Paul McLaughlin','Tallaght Stadium',8276,2024
268,Drogheda United,Shamrock Rovers,0 - 2,19:45,,"47' J. Kenny
52' G. Burke",2024-05-31,'Robert Harvey','Weavers Park',2262,2024
269,Dundalk,Derry City,0 - 0,19:45,,,2024-05-31,'Daniel Murphy','Oriel Park',2411,2024
270,Shelbourne,Sligo Rovers,1 - 2,19:45,S. Boyd 58',"22' K. Barlow
69' F. Hartmann",2024-05-31,'Paul Norton','Tolka Park',3910,2024
271,St Patrick's Athletic,Galway United,2 - 1,19:45,"M. Melia 35'
A. Nolan 88'",69' F. Lomboto,2024-05-31,'Gavin Colfer','Richmond Park',4077,2024
272,Waterford,Bohemians,2 - 1,19:45,"C. Pattisson 9'
P. Amond 70'",30' D. Rooney,2024-05-31,'Alan Patchell','Waterford Regional Sports Centre',2994,2024
273,Bohemians,Shelbourne,1 - 1,19:45,R. Tierney 83',59' M. Smith,2024-09-06,'Neil Doyle','Dalymount Park',4429,2024
274,Derry City,Waterford,3 - 0,18:00,"M. Duffy 11'
M. Connolly 21'
P. Hoban 30'",,2024-06-03,'Paul McLaughlin','The Ryan McBride Brandywell Stadium',2084,2024
275,Galway United,Shamrock Rovers,1 - 2,19:45,"C. McCormack 32'
G. Buckley 84'",20' M. McNulty,2024-09-16,'Neil Doyle','Eamonn Deacy Park',3335,2024
276,Sligo Rovers,Drogheda United,2 - 1,17:00,"C. Malley 18'
C. Malley 42'",46' J. Keaney,2024-06-03,'Marc Lynch','The Showgrounds',2167,2024
277,St Patrick's Athletic,Dundalk,2 - 3,17:15,"C. Forrester 27'
J. Lennon 35'","2' J. Gullan
4' R. O'Kane
22' J. Gullan",2024-06-03,'Robert Hennessy','Richmond Park',3934,2024
278,Derry City,Galway United,2 - 0,19:45,"W. Patching 65'
P. Hoban 86'",,2024-06-07,"""Eoghan O'Shea""",'The Ryan McBride Brandywell Stadium',2429,2024
279,Drogheda United,St Patrick's Athletic,0 - 0,19:45,,,2024-06-07,'Declan Toland','Weavers Park',2046,2024
280,Shelbourne,Dundalk,1 - 0,19:45,J. Martin 71',,2024-06-07,'Damien MacGraith','Tolka Park',4060,2024
281,Waterford,Sligo Rovers,4 - 1,19:45,"B. McCormack 25'
C. Parsons 60'
P. Amond 67'
P. Amond 87'",86' W. Waweru,2024-06-07,'Neil Doyle','Waterford Regional Sports Centre',2392,2024
282,Shamrock Rovers,Bohemians,1 - 0,19:45,G. Burke 84',,2024-09-23,'Robert Hennessy','Tallaght Stadium',6119,2024
283,Bohemians,Derry City,1 - 2,19:45,D. Grant 15',"17' S. Diallo
94' D. Mullen",2024-06-13,'Robert Hennessy','Dalymount Park',3843,2024
284,Dundalk,Sligo Rovers,1 - 0,19:45,D. Horgan 54',,2024-06-13,'Paul McLaughlin','Oriel Park',2036,2024
285,Galway United,Drogheda United,3 - 0,19:45,"S. Walsh 7'
S. Walsh 61'
C. O'Keeffe 93'",,2024-06-13,'Neil Doyle','Eamonn Deacy Park',1668,2024
286,St Patrick's Athletic,Shamrock Rovers,2 - 1,19:45,"R. Keating 76'
B. Kavanagh 96'",32' J. Kenny,2024-06-13,'Damien MacGraith','Richmond Park',4965,2024
287,Waterford,Shelbourne,0 - 1,19:45,,55' W. Jarvis,2024-06-13,'Robert Harvey','Waterford Regional Sports Centre',2762,2024
288,Derry City,Drogheda United,5 - 1,19:45,"C. Dummigan 6'
W. Patching 30'
D. Kelly 57'
P. Hoban 66'
C. Coll 88'",26' A. Foley,2024-06-28,'Robert Harvey','The Ryan McBride Brandywell Stadium',2589,2024
289,Dundalk,Waterford,0 - 2,19:45,,"19' C. Parsons
43' D. McMenamy",2024-06-28,'Paul Norton','Oriel Park',2073,2024
290,Shelbourne,Galway United,2 - 0,19:45,"J. Martin 11'
E. Caffrey 36'",,2024-06-28,'Robert Hennessy','Tolka Park',3643,2024
291,Sligo Rovers,Shamrock Rovers,2 - 0,19:45,"S. Power 74'
S. Power 83'",,2024-06-28,"""Eoghan O'Shea""",'The Showgrounds',3187,2024
292,St Patrick's Athletic,Bohemians,0 - 0,19:45,,,2024-06-28,'Paul McLaughlin','Richmond Park',5015,2024
293,Drogheda United,Shelbourne,1 - 1,19:45,D. James-Taylor 84',20' T. Wilson,2024-07-04,'Paul McLaughlin','Weavers Park',2085,2024
294,Galway United,Bohemians,1 - 1,19:45,R. Slevin 50',4' D. Rooney,2024-07-04,"""Eoghan O'Shea""",'Eamonn Deacy Park',2319,2024
295,Sligo Rovers,Derry City,2 - 1,19:45,"E. Chapman 62'
E. Chapman 89'",54' P. McMullan,2024-07-04,'Damien MacGraith','The Showgrounds',2856,2024
296,Waterford,St Patrick's Athletic,1 - 0,19:45,B. McCormack 52',,2024-07-04,'Robert Hennessy','Waterford Regional Sports Centre',2786,2024
297,Shamrock Rovers,Dundalk,1 - 0,20:00,J. Kenny 29',,2024-07-04,'Marc Lynch','Tallaght Stadium',5317,2024
298,Bohemians,Sligo Rovers,0 - 2,19:45,,"36' W. Waweru
95' E. Chapman",2024-07-12,'Marc Lynch','Dalymount Park',4119,2024
299,Dundalk,Drogheda United,4 - 2,19:45,"J. Hakiki 8'
R. O'Kane 16'
D. Horgan 55'
D. Horgan 85'","36' D. James-Taylor
93' D. James-Taylor",2024-07-12,'Robert Hennessy','Oriel Park',2776,2024
300,Galway United,Waterford,1 - 0,19:45,P. Hickey 23',,2024-07-12,'Damien MacGraith','Eamonn Deacy Park',2024,2024
301,Bohemians,Dundalk,1 - 1,19:45,R. Tierney 19',27' D. Horgan,2024-07-26,"""Eoghan O'Shea""",'Dalymount Park',4239,2024
302,Drogheda United,Waterford,2 - 0,19:45,"F. Pierrot 15'
A. Foley 89'",,2024-07-26,'Paul Norton','Weavers Park',1791,2024
303,Sligo Rovers,Galway United,2 - 0,19:45,"W. Waweru 33'
L. Pearce 95'",,2024-07-27,'Gavin Colfer','The Showgrounds',2976,2024
304,Drogheda United,Bohemians,2 - 2,19:45,"S. Farrell 9'
J. Bolger 22'","18' D. Rooney
60' C. Byrne",2024-08-02,'Robert Harvey','Weavers Park',2296,2024
305,Dundalk,Galway United,0 - 2,19:45,,"53' S. Walsh
87' S. Walsh",2024-08-02,'Paul Norton','Oriel Park',2176,2024
306,Shelbourne,Derry City,0 - 0,19:45,,,2024-08-05,'Damien MacGraith','Tolka Park',4596,2024
307,St Patrick's Athletic,Sligo Rovers,3 - 2,18:00,"A. Keena 26'
B. Kavanagh 65'
B. Kavanagh 100'","22' C. Malley
53' E. Chapman",2024-08-04,'Robert Hennessy','Richmond Park',3211,2024
308,Waterford,Shamrock Rovers,1 - 2,19:45,C. Pattisson 52',"8' C. O'Sullivan
85' G. Burke",2024-08-02,'Paul McLaughlin','Waterford Regional Sports Centre',3102,2024
309,Bohemians,Waterford,2 - 3,19:45,"D. Rooney 6'
D. Devoy 37'
A. McDonnell 46'","62' D. Power
81' S. Glenfield",2024-08-09,'Damien MacGraith','Dalymount Park',4267,2024
310,Derry City,Dundalk,1 - 1,19:45,D. Mullen 64',21' J. Mountney,2024-08-09,'Robert Harvey','The Ryan McBride Brandywell Stadium',2384,2024
311,Galway United,St Patrick's Athletic,1 - 1,15:00,E. McCarthy 53',37' J. McClelland,2024-08-11,'Daniel Murphy','Eamonn Deacy Park',2813,2024
312,Shamrock Rovers,Drogheda United,1 - 1,19:00,D. Burns 6',74' D. James-Taylor,2024-08-11,'Robert Hennessy','Tallaght Stadium',3681,2024
313,Sligo Rovers,Shelbourne,2 - 1,19:45,"W. Fitzgerald 24'
W. Waweru 65'",56' E. Caffrey,2024-08-10,'David Dunne','The Showgrounds',3056,2024
314,Drogheda United,Sligo Rovers,7 - 0,19:45,"D. James-Taylor 4'
A. Quinn 11'
F. Pierrot 37'
F. Pierrot 58'
C. Kane 61'
E. Ahui 76'
A. Foley 91'",,2024-08-23,'Robert Harvey','Weavers Park',1915,2024
315,Dundalk,St Patrick's Athletic,1 - 2,19:45,E. Kenny 2',"55' T. Grivosti
68' M. Melia",2024-09-05,'Damien MacGraith','Oriel Park',2267,2024
316,Shelbourne,Bohemians,1 - 1,19:45,A. Coote 14',12' D. Grant,2024-08-23,'Damien MacGraith','Tolka Park',4755,2024
317,Waterford,Derry City,0 - 1,19:45,,60' B. Doherty,2024-08-23,'Neil Doyle','Waterford Regional Sports Centre',2693,2024
318,Shamrock Rovers,Galway United,1 - 1,19:00,D. Mândroiu 88',74' P. Hickey,2024-08-25,'Gavin Colfer','Tallaght Stadium',3017,2024
319,Bohemians,Shamrock Rovers,2 - 1,11:30,"R. Tierney 24'
F. Piszczek 84'",15' N. Farrugia,2024-09-01,'Paul McLaughlin','Dalymount Park',4436,2024
320,Dundalk,Shelbourne,0 - 1,19:45,,4' A. O'Brien,2024-08-30,"""Eoghan O'Shea""",'Oriel Park',2234,2024
321,Galway United,Derry City,1 - 0,19:45,P. Hickey 76',,2024-08-30,"""Kevin O'Sullivan""",'Eamonn Deacy Park',2574,2024
322,St Patrick's Athletic,Drogheda United,4 - 1,18:00,"C. Forrester 30'
J. Mulraney 45'
J. Mulraney 50'
M. Melia 93'",43' D. James-Taylor,2024-09-01,'Robert Hennessy','Richmond Park',3022,2024
323,Sligo Rovers,Waterford,2 - 0,19:45,"W. Waweru 18'
S. Power 72'",,2024-08-31,'Paul Norton','The Showgrounds',2432,2024
324,Derry City,Bohemians,1 - 1,19:45,P. Hoban 61',20' A. Meekison,2024-10-11,'Neil Doyle','The Ryan McBride Brandywell Stadium',3123,2024
325,Drogheda United,Galway United,0 - 0,19:45,,,2024-09-23,'Gavin Colfer','Weavers Park',1618,2024
326,Shelbourne,St Patrick's Athletic,2 - 3,19:15,"R. Tulloch 76'
M. Smith 80'","22' J. Redmond
62' B. Kavanagh
88' A. Kazeem",2024-09-30,'Damien MacGraith','Tolka Park',4382,2024
327,Waterford,Dundalk,2 - 1,19:45,"S. Bellis 5'
P. Amond 16'",76' J. Gullan,2024-09-13,'Robert Hennessy','Waterford Regional Sports Centre',2226,2024
328,Shamrock Rovers,Sligo Rovers,4 - 0,19:45,"J. Kenny 18'
J. Kenny 43'
S. Hoare 64'
S. Hoare 83'",,2024-09-13,"""Kevin O'Sullivan""",'Tallaght Stadium',4571,2024
329,Bohemians,Drogheda United,0 - 1,19:45,,28' F. Pierrot,2024-09-20,'Robert Harvey','Dalymount Park',4275,2024
330,Derry City,Shamrock Rovers,1 - 1,19:45,P. Hoban 92',26' D. Watts,2024-09-20,'Damien MacGraith','The Ryan McBride Brandywell Stadium',3382,2024
331,Galway United,Shelbourne,1 - 0,19:45,J. Keohane 2',,2024-09-20,"""Kevin O'Sullivan""",'Eamonn Deacy Park',3500,2024
332,St Patrick's Athletic,Waterford,3 - 0,19:45,"Z. Elbouzedi 35'
M. Melia 39'
A. Keena 77'",,2024-09-20,'Neil Doyle','Richmond Park',4237,2024
333,Sligo Rovers,Dundalk,2 - 1,19:45,"W. Waweru 69'
E. Chapman 76'",24' R. Benson,2024-09-21,'Marc Lynch','The Showgrounds',2754,2024
334,Drogheda United,Derry City,2 - 1,19:45,"F. Pierrot 62'
F. Pierrot 70'",83' S. Robertson,2024-09-27,'Robert Hennessy','Weavers Park',1950,2024
335,Shelbourne,Sligo Rovers,0 - 0,19:45,,,2024-09-27,'Paul McLaughlin','Tolka Park',4125,2024
336,Dundalk,Bohemians,0 - 2,19:45,J. Mountney 84',58' D. Devoy,2024-09-27,"""Kevin O'Sullivan""",'Oriel Park',3080,2024
337,Waterford,Galway United,1 - 2,19:45,D. McMenamy 7',"61' S. Walsh
68' K. Brouder",2024-09-27,'Paul Norton','Waterford Regional Sports Centre',2357,2024
338,Bohemians,St Patrick's Athletic,1 - 3,19:45,D. Devoy 89',"60' A. Keena
76' J. Mulraney
81' J. Redmond",2024-10-14,'Robert Hennessy','Dalymount Park',3761,2024
339,Shamrock Rovers,St Patrick's Athletic,0 - 3,20:00,,"1' J. Redmond
13' J. Mulraney
59' J. Mulraney",2024-09-27,'Robert Harvey','Tallaght Stadium',6839,2024
340,Derry City,Sligo Rovers,1 - 1,19:15,,"34' C. Malley
53' R. Hutchinson",2024-10-14,'Paul Norton','The Ryan McBride Brandywell Stadium',3248,2024
341,Galway United,Dundalk,1 - 1,19:45,P. Hickey 41',96' E. Kenny,2024-10-04,"""Eoghan O'Shea""",'Eamonn Deacy Park',4128,2024
342,Waterford,Drogheda United,0 - 0,19:45,,,2024-10-11,'Gavin Colfer','Waterford Regional Sports Centre',2030,2024
343,Shamrock Rovers,Shelbourne,2 - 0,17:45,"J. Byrne 18'
N. Farrugia 85'",,2024-10-06,'Neil Doyle','Tallaght Stadium',7861,2024
344,Drogheda United,Shamrock Rovers,0 - 1,19:45,,84' D. Watts,2024-10-18,"""Kevin O'Sullivan""",'Weavers Park',2357,2024
345,Dundalk,Derry City,0 - 2,19:45,,"16' C. Whelan
77' W. Patching",2024-10-18,'Gavin Colfer','Oriel Park',2350,2024
346,Shelbourne,Waterford,3 - 1,19:45,"S. Boyd 40'
S. Boyd 80'
L. Burt 84'",37' P. Amond,2024-10-18,'Robert Hennessy','Tolka Park',4755,2024
347,St Patrick's Athletic,Galway United,2 - 1,19:45,"A. Keena 32'
A. Keena 68'",50' E. McCarthy,2024-10-18,'Neil Doyle','Richmond Park',4851,2024
348,Dundalk,Shamrock Rovers,0 - 1,17:45,,58' D. Watts,2024-10-27,'Robert Harvey','Oriel Park',2224,2024
349,Sligo Rovers,Bohemians,0 - 2,19:45,,"23' D. Devoy
82' A. Meekison",2024-10-19,'Robert Harvey','The Showgrounds',3436,2024
350,Galway United,Sligo Rovers,2 - 2,19:45,"J. Keohane 58'
S. Walsh 83'","34' L. Pearce
61' S. Power",2024-10-25,"""Kevin O'Sullivan""",'Eamonn Deacy Park',4323,2024
351,Shelbourne,Drogheda United,2 - 1,19:45,"S. Boyd 11'
R. Tulloch 54'",67' B. Bosakani,2024-10-25,'Neil Doyle','Tolka Park',4700,2024
352,Waterford,Bohemians,1 - 1,19:45,S. Glenfield 92',81' J. Clarke,2024-10-25,'Damien MacGraith','Waterford Regional Sports Centre',2463,2024
353,St Patrick's Athletic,Derry City,1 - 0,19:45,B. Kavanagh 44',,2024-10-25,'Robert Hennessy','Richmond Park',4998,2024
354,Bohemians,Galway United,v,19:45,postponed,postponed,2024-11-01,'Robert Hennessy','Dalymount Park',4196,2024
355,Derry City,Shelbourne,v,19:45,postponed,postponed,2024-11-01,'Paul McLaughlin','The Ryan McBride Brandywell Stadium',3135,2024
356,Shamrock Rovers,Waterford,v,19:45,postponed,postponed,2024-11-01,'Neil Doyle','Tallaght Stadium',9522,2024
357,Drogheda United,Dundalk,v,19:45,postponed,postponed,2024-11-01,'Damien MacGraith','Weavers Park',2030,2024
358,Sligo Rovers,St Patrick's Athletic,v,19:45,postponed,postponed,2024-11-01,'Robert Harvey','The Showgrounds',3620,2024
359,Cork City,Galway United,2 - 2,19:45,"M. Dijksteel 34'
G. Bolger 51'","46' P. Hickey
81' V. Borden",2025-02-14,"""Aaron O'Dowd""","""Turner's Cross""",5031,2025
360,Shelbourne,Derry City,3 - 1,19:45,"S. Boyd 11'
E. Caffrey 15'
S. Boyd 45'",14' M. Duffy,2025-02-14,'Robert Harvey','Tolka Park',4780,2025
361,St Patrick's Athletic,Drogheda United,0 - 0,19:45,,,2025-02-14,'Neil Doyle','Richmond Park',5034,2025
362,Sligo Rovers,Waterford,2 - 3,19:45,"O. Elding 50'
J. Hakiki 82'","13' R. McDonald
33' T. Lonergan
58' C. Noonan",2025-02-15,'Damien MacGraith','The Showgrounds',3612,2025
363,Bohemians,Shamrock Rovers,1 - 0,14:00,R. Tierney 25',,2025-02-16,'Robert Hennessy','Aviva Stadium',33208,2025
364,Derry City,Bohemians,1 - 0,19:45,M. Duffy 10',,2025-02-21,'Marc Lynch','The Ryan McBride Brandywell Stadium',3264,2025
365,Drogheda United,Sligo Rovers,3 - 0,19:45,"J. Thomas 41'
D. Markey 74'
L. Heeney 94'",,2025-02-21,'David Dunne','Sullivan & Lambe Park',2212,2025
366,Galway United,St Patrick's Athletic,2 - 1,19:45,"P. Hickey 18'
P. Hickey 25'",30' A. Keena,2025-02-21,'Damien MacGraith','Eamonn Deacy Park',4231,2025
